"state","cd117","cd118","stab","pop20","IntPtLat","IntPtLon","afact2","afact"
"State code","Congressional district code (117th Congress)","Congressional district code (118th Congress)","State abbr.","Total population (2020 Census)","Weighted centroid latitude","Weighted centroid west longitude","cd118-to-cd117 allocation factor","cd117-to-cd118 allocation factor"
"01","01","01","AL",717754,30.694874,-87.975264,1,0.988266 
"01","01","02","AL",739,31.132344,-86.817891,0.00103,0.001018 
"01","01","07","AL",7783,31.597948,-87.862099,0.010844,0.010716 
"01","02","02","AL",674947,31.833554,-85.988359,0.940358,0.973295 
"01","02","07","AL",18519,32.355824,-86.321913,0.025801,0.026705 
"01","03","02","AL",41867,32.349639,-86.122027,0.05833,0.056952 
"01","03","03","AL",693265,33.135827,-85.698284,0.965881,0.943048 
"01","04","03","AL",1697,34.392725,-85.546578,0.002364,0.002414 
"01","04","04","AL",674218,34.166246,-86.865248,0.939344,0.959083 
"01","04","05","AL",185,34.498965,-86.054153,0.000258,0.000263 
"01","04","06","AL",5012,34.154279,-86.426477,0.006983,0.00713 
"01","04","07","AL",21870,33.242984,-87.547789,0.03047,0.03111 
"01","05","04","AL",43533,34.845028,-87.69773,0.060652,0.057197 
"01","05","05","AL",717569,34.721089,-86.728922,0.999742,0.942802 
"01","06","03","AL",22792,32.903721,-86.386376,0.031755,0.03077 
"01","06","06","AL",650382,33.440326,-86.749865,0.906135,0.878052 
"01","06","07","AL",67536,33.445099,-86.959669,0.094094,0.091177 
"01","07","02","AL",202,32.361897,-86.277827,0.000281,0.000304 
"01","07","04","AL",3,33.26708,-87.628484,4E-6,5E-6 
"01","07","06","AL",62360,33.607773,-86.71228,0.086882,0.093829 
"01","07","07","AL",602046,33.021685,-87.201507,0.838791,0.905862 
"02","00","00","AK",733391,61.408891,-149.024038,1,1 
"04","01","02","AZ",511992,34.561999,-111.047942,0.64433,0.672921 
"04","01","06","AZ",243055,32.609455,-110.933898,0.305879,0.319452 
"04","01","07","AZ",5803,32.876104,-112.000524,0.007303,0.007627 
"04","02","06","AZ",545263,32.112065,-110.756243,0.686201,0.732409 
"04","02","07","AZ",199215,32.067488,-110.748983,0.250707,0.26759 
"04","03","03","AZ",78345,33.471503,-112.258341,0.098595,0.100758 
"04","03","06","AZ",6293,32.170848,-110.931653,0.00792,0.008093 
"04","03","07","AZ",581040,32.442922,-112.054142,0.731225,0.747266 
"04","03","09","AZ",111876,33.331216,-112.714367,0.140793,0.143882 
"04","04","01","AZ",1193,33.763881,-111.732635,0.001501,0.001483 
"04","04","02","AZ",282620,34.315291,-112.076721,0.35567,0.351376 
"04","04","05","AZ",157865,33.261573,-111.556411,0.198669,0.196271 
"04","04","07","AZ",1337,32.683058,-114.608971,0.001683,0.001662 
"04","04","08","AZ",7392,33.765381,-112.329796,0.009303,0.00919 
"04","04","09","AZ",353916,34.291076,-114.041721,0.445395,0.440017 
"04","05","01","AZ",4713,33.483601,-111.670067,0.005931,0.005349 
"04","05","04","AZ",239565,33.420644,-111.746672,0.301487,0.271916 
"04","05","05","AZ",636747,33.310738,-111.725597,0.801331,0.722734 
"04","06","01","AZ",596142,33.628894,-111.952874,0.750231,0.758587 
"04","06","04","AZ",18,33.460802,-111.835255,0.000023,0.000023 
"04","06","08","AZ",189698,33.627744,-112.123343,0.238731,0.24139 
"04","07","01","AZ",26850,33.491839,-112.031153,0.03379,0.034059 
"04","07","03","AZ",680516,33.45401,-112.123505,0.856413,0.863235 
"04","07","04","AZ",1112,33.4456,-111.965601,0.001399,0.001411 
"04","07","07","AZ",7216,33.451087,-112.255142,0.009081,0.009154 
"04","07","08","AZ",30245,33.542142,-112.163438,0.038063,0.038366 
"04","07","09","AZ",42393,33.528021,-112.224866,0.053351,0.053776 
"04","08","08","AZ",550823,33.662611,-112.228983,0.693199,0.657895 
"04","08","09","AZ",286427,33.563156,-112.381538,0.360461,0.342104 
"04","09","01","AZ",165713,33.512731,-112.010753,0.208546,0.214701 
"04","09","03","AZ",35751,33.495009,-112.048145,0.044992,0.04632 
"04","09","04","AZ",553916,33.366449,-111.905375,0.697091,0.717664 
"04","09","08","AZ",16452,33.552621,-112.107037,0.020704,0.021316 
"05","01","01","AR",689147,35.517992,-91.108936,0.915799,0.961974 
"05","01","02","AR",24711,35.507218,-92.037731,0.032829,0.034494 
"05","01","04","AR",2530,34.421132,-91.858831,0.00336,0.003532 
"05","02","01","AR",8612,34.736104,-92.155377,0.011444,0.011193 
"05","02","02","AR",727999,34.88915,-92.33416,0.96717,0.946201 
"05","02","04","AR",32780,34.644489,-92.315335,0.043528,0.042605 
"05","03","01","AR",54750,36.27006,-92.961904,0.072757,0.065245 
"05","03","03","AR",713443,36.046176,-94.212076,0.947192,0.8502 
"05","03","04","AR",70954,35.335988,-93.169659,0.094218,0.084555 
"05","04","03","AR",39776,35.713827,-93.99474,0.052808,0.057932 
"05","04","04","AR",646822,34.162794,-93.111055,0.858895,0.942068 
"06","01","01","CA",547266,40.247127,-121.954129,0.715775,0.779631 
"06","01","03","CA",154689,39.243247,-121.015785,0.202306,0.220369 
"06","02","02","CA",718556,38.997141,-123.084057,0.938384,0.999467 
"06","02","04","CA",383,38.340469,-122.759269,0.000501,0.000533 
"06","03","01","CA",217312,39.192141,-121.722913,0.284225,0.285106 
"06","03","03","CA",12508,39.324559,-121.336549,0.016358,0.01641 
"06","03","04","CA",337929,38.550082,-121.941396,0.441658,0.443352 
"06","03","06","CA",28811,38.701694,-121.430413,0.038073,0.037799 
"06","03","07","CA",8500,38.255018,-121.533894,0.011212,0.011152 
"06","03","08","CA",157154,38.258452,-122.039692,0.207314,0.206181 
"06","04","03","CA",440698,38.844071,-121.050247,0.576355,0.573576 
"06","04","05","CA",317530,38.239509,-120.591792,0.415066,0.413271 
"06","04","20","CA",10105,36.938041,-119.470177,0.01324,0.013152 
"06","05","02","CA",47182,38.461076,-122.750287,0.061616,0.064817 
"06","05","04","CA",426825,38.411167,-122.560472,0.557841,0.586358 
"06","05","08","CA",230991,38.075034,-122.234618,0.304718,0.317327 
"06","05","10","CA",22928,38.00274,-122.105964,0.030158,0.031498 
"06","06","06","CA",358729,38.65272,-121.432053,0.474051,0.45527 
"06","06","07","CA",429219,38.52522,-121.474768,0.566162,0.54473 
"06","07","03","CA",124524,38.673346,-121.173451,0.162855,0.158396 
"06","07","06","CA",369190,38.625855,-121.312032,0.487875,0.469615 
"06","07","07","CA",292441,38.434733,-121.38493,0.385745,0.371989 
"06","08","03","CA",32211,37.41786,-118.557378,0.042126,0.042576 
"06","08","23","CA",653103,34.426288,-117.135445,0.855517,0.863268 
"06","08","25","CA",6979,34.673778,-114.543903,0.009071,0.009225 
"06","08","28","CA",6610,34.32897,-117.603818,0.008722,0.008737 
"06","08","33","CA",57644,34.115819,-117.204602,0.076126,0.076194 
"06","09","07","CA",27960,38.265715,-121.304633,0.036881,0.034775 
"06","09","08","CA",28775,37.995205,-121.802316,0.037959,0.035789 
"06","09","09","CA",553116,37.993351,-121.310573,0.725846,0.68794 
"06","09","10","CA",165475,37.962894,-121.730806,0.217654,0.20581 
"06","09","13","CA",28692,37.813916,-121.298704,0.037356,0.035686 
"06","10","05","CA",326749,37.660113,-120.936122,0.427117,0.425499 
"06","10","09","CA",208913,37.763488,-121.302292,0.274153,0.272051 
"06","10","13","CA",232257,37.561219,-120.997156,0.302389,0.30245 
"06","11","08","CA",341129,37.97156,-122.157864,0.450009,0.444249 
"06","11","10","CA",426748,37.911979,-122.037033,0.561314,0.55575 
"06","12","11","CA",710176,37.769616,-122.435022,0.935436,0.921098 
"06","12","15","CA",60834,37.720441,-122.417474,0.080144,0.078902 
"06","13","12","CA",758548,37.79944,-122.231045,1,0.972021 
"06","13","14","CA",21834,37.694937,-122.140229,0.028751,0.027979 
"06","14","11","CA",49016,37.728104,-122.468611,0.064563,0.06565 
"06","14","15","CA",632172,37.598257,-122.359092,0.832837,0.846711 
"06","14","16","CA",65433,37.564402,-122.469277,0.08623,0.087639 
"06","15","10","CA",145115,37.74345,-121.914186,0.190874,0.182142 
"06","15","14","CA",651596,37.650474,-121.998713,0.858022,0.817857 
"06","16","05","CA",3242,36.934751,-119.823812,0.004238,0.004314 
"06","16","13","CA",409466,37.184845,-120.45806,0.533109,0.544914 
"06","16","20","CA",2117,36.791293,-119.722078,0.002774,0.002817 
"06","16","21","CA",336607,36.75787,-119.792879,0.445054,0.447954 
"06","17","14","CA",85986,37.544616,-121.974667,0.113226,0.109795 
"06","17","16","CA",4862,37.296675,-122.019632,0.006407,0.006208 
"06","17","17","CA",691844,37.397452,-121.963967,0.911596,0.88341 
"06","17","18","CA",459,37.382345,-121.854855,0.000601,0.000586 
"06","18","15","CA",66052,37.469977,-122.226616,0.087018,0.088114 
"06","18","16","CA",533744,37.338802,-122.042515,0.703384,0.712018 
"06","18","17","CA",50943,37.314201,-121.969938,0.067124,0.067958 
"06","18","18","CA",7478,37.321529,-121.927551,0.009796,0.009976 
"06","18","19","CA",91404,37.141588,-121.978068,0.120499,0.121934 
"06","19","16","CA",154784,37.299456,-121.857439,0.203979,0.206964 
"06","19","17","CA",16150,37.345099,-121.915177,0.02128,0.021594 
"06","19","18","CA",330564,37.264904,-121.783793,0.433014,0.442003 
"06","19","19","CA",246379,37.269532,-121.803618,0.324805,0.329438 
"06","20","18","CA",424902,36.715695,-121.55619,0.556589,0.570455 
"06","20","19","CA",319945,36.792953,-121.891993,0.421788,0.429544 
"06","21","13","CA",97657,36.541277,-120.169137,0.127146,0.137132 
"06","21","20","CA",63392,36.297424,-119.733652,0.083059,0.089017 
"06","21","21","CA",108907,36.618939,-119.603014,0.143994,0.15293 
"06","21","22","CA",442181,35.641344,-119.230251,0.56527,0.620921 
"06","22","05","CA",117489,36.850836,-119.786835,0.153578,0.149137 
"06","22","20","CA",289166,36.63088,-119.545265,0.378879,0.367058 
"06","22","21","CA",307434,36.55876,-119.472455,0.406482,0.390247 
"06","22","22","CA",73704,36.202156,-119.291198,0.094221,0.093558 
"06","23","20","CA",398434,35.352665,-118.834086,0.522048,0.512961 
"06","23","21","CA",3380,36.357288,-119.06992,0.004469,0.004352 
"06","23","22","CA",266362,35.576575,-119.020288,0.340509,0.342926 
"06","23","23","CA",19301,35.109289,-117.92307,0.025283,0.024849 
"06","23","27","CA",89256,34.684522,-118.196656,0.117407,0.114912 
"06","24","19","CA",100817,35.577613,-120.698708,0.132908,0.136189 
"06","24","24","CA",638990,34.80071,-120.246716,0.835577,0.863181 
"06","24","26","CA",466,34.711761,-119.161116,0.000614,0.000629 
"06","25","23","CA",16710,34.598017,-117.834994,0.021889,0.022169 
"06","25","26","CA",119019,34.270456,-118.734671,0.156868,0.157904 
"06","25","27","CA",617493,34.516394,-118.313625,0.812248,0.819234 
"06","25","28","CA",4,34.429844,-117.920439,5E-6,5E-6 
"06","25","30","CA",9,34.411497,-118.257027,0.000012,0.000012 
"06","25","32","CA",509,34.273396,-118.535007,0.000671,0.000675 
"06","26","24","CA",125739,34.30747,-119.233797,0.164423,0.174326 
"06","26","26","CA",595548,34.221431,-119.033745,0.78494,0.825674 
"06","27","27","CA",176,34.422202,-118.112291,0.000232,0.000248 
"06","27","28","CA",663597,34.115213,-118.060595,0.875584,0.936316 
"06","27","30","CA",5731,34.164234,-118.161084,0.00756,0.008086 
"06","27","31","CA",32664,34.130721,-117.883422,0.043134,0.046088 
"06","27","35","CA",6564,34.116732,-117.668946,0.00861,0.009262 
"06","28","27","CA",2,34.431578,-118.348988,3E-6,3E-6 
"06","28","28","CA",49400,34.203029,-118.209281,0.065181,0.069288 
"06","28","29","CA",1088,34.301723,-118.37247,0.001436,0.001526 
"06","28","30","CA",647927,34.143084,-118.294087,0.854653,0.908779 
"06","28","32","CA",6568,34.102639,-118.380743,0.008661,0.009212 
"06","28","34","CA",7979,34.084042,-118.279129,0.010531,0.011191 
"06","29","27","CA",10742,34.269811,-118.478824,0.01413,0.015106 
"06","29","29","CA",669383,34.231865,-118.426792,0.883731,0.941305 
"06","29","30","CA",2267,34.274572,-118.36143,0.00299,0.003188 
"06","29","32","CA",28730,34.2249,-118.477543,0.037886,0.040401 
"06","30","27","CA",42558,34.282856,-118.524002,0.055981,0.056919 
"06","30","29","CA",86980,34.185904,-118.46372,0.114832,0.116331 
"06","30","30","CA",25584,34.163793,-118.344613,0.033747,0.034217 
"06","30","32","CA",592573,34.195245,-118.543839,0.781426,0.792533 
"06","31","23","CA",74287,34.056966,-117.217104,0.097311,0.098203 
"06","31","28","CA",38126,34.143079,-117.594187,0.050305,0.0504 
"06","31","33","CA",558954,34.120521,-117.356665,0.738168,0.738902 
"06","31","35","CA",85099,34.098204,-117.62728,0.111629,0.112495 
"06","32","31","CA",705027,34.08255,-117.933933,0.931021,1 
"06","33","26","CA",43685,34.147732,-118.711761,0.057577,0.060335 
"06","33","30","CA",52024,34.070752,-118.355752,0.068623,0.071852 
"06","33","32","CA",109065,34.068419,-118.53933,0.143824,0.150634 
"06","33","36","CA",491593,33.920654,-118.412927,0.648348,0.678957 
"06","33","43","CA",112,33.847073,-118.353159,0.000148,0.000155 
"06","33","44","CA",27562,33.774917,-118.30007,0.036364,0.038067 
"06","34","28","CA",154,34.124823,-118.177438,0.000203,0.000219 
"06","34","30","CA",11379,34.075975,-118.310577,0.01501,0.016177 
"06","34","34","CA",650028,34.069913,-118.241717,0.857903,0.9241 
"06","34","37","CA",41856,34.041798,-118.277676,0.055415,0.059504 
"06","35","33","CA",140620,34.100385,-117.42443,0.185706,0.190136 
"06","35","35","CA",596658,34.053553,-117.635632,0.782667,0.806756 
"06","35","38","CA",2298,34.028916,-117.778671,0.003033,0.003107 
"06","36","25","CA",579560,33.781973,-116.555294,0.753301,0.757839 
"06","36","41","CA",182850,33.770253,-116.47353,0.240028,0.239097 
"06","36","48","CA",2343,33.50267,-116.76391,0.003089,0.003064 
"06","37","30","CA",13196,34.058909,-118.347018,0.017406,0.018273 
"06","37","32","CA",20877,34.048113,-118.454219,0.027531,0.028908 
"06","37","34","CA",4189,34.050604,-118.32174,0.005529,0.005801 
"06","37","36","CA",162472,34.021049,-118.429381,0.21428,0.224975 
"06","37","37","CA",520271,34.01437,-118.333167,0.688811,0.72042 
"06","37","43","CA",1172,33.980716,-118.363161,0.001553,0.001623 
"06","38","31","CA",19567,34.050171,-118.046866,0.025839,0.027698 
"06","38","38","CA",484308,33.95262,-118.060592,0.639162,0.685558 
"06","38","42","CA",65446,33.859528,-118.106982,0.086468,0.092642 
"06","38","44","CA",38467,33.864111,-118.142383,0.050751,0.054452 
"06","38","45","CA",98655,33.85778,-118.065459,0.130057,0.13965 
"06","39","31","CA",4,34.022997,-117.983525,5E-6,5E-6 
"06","39","35","CA",24501,33.975412,-117.709226,0.032139,0.033445 
"06","39","38","CA",255421,33.98108,-117.905615,0.33709,0.348665 
"06","39","40","CA",153061,33.919852,-117.772042,0.20165,0.208937 
"06","39","45","CA",237050,33.885698,-117.922543,0.312504,0.323587 
"06","39","46","CA",62532,33.864382,-117.937578,0.082535,0.08536 
"06","40","34","CA",95498,34.025223,-118.165018,0.126038,0.138361 
"06","40","37","CA",159596,33.998899,-118.262813,0.211297,0.231228 
"06","40","38","CA",15696,33.957104,-118.112172,0.020715,0.022741 
"06","40","42","CA",365251,33.956984,-118.173236,0.482572,0.529187 
"06","40","44","CA",54170,33.897246,-118.163666,0.071469,0.078483 
"06","41","35","CA",20,34.026948,-117.554546,0.000026,0.000027 
"06","41","39","CA",739507,33.925133,-117.336607,0.977523,0.981771 
"06","41","41","CA",13711,33.88832,-117.426615,0.017998,0.018203 
"06","42","25","CA",3119,33.708982,-117.085303,0.004054,0.003843 
"06","42","35","CA",49497,33.968915,-117.574474,0.064928,0.060983 
"06","42","39","CA",17004,33.854343,-117.455537,0.022477,0.02095 
"06","42","40","CA",10910,33.87592,-117.637016,0.014373,0.013442 
"06","42","41","CA",565226,33.761702,-117.364846,0.741973,0.696387 
"06","42","48","CA",165899,33.560887,-117.164077,0.218686,0.204396 
"06","43","36","CA",104159,33.892414,-118.370096,0.137372,0.143167 
"06","43","37","CA",33594,33.959006,-118.283767,0.044477,0.046175 
"06","43","43","CA",544210,33.918074,-118.32538,0.720927,0.748021 
"06","43","44","CA",45570,33.829307,-118.298607,0.060123,0.062636 
"06","44","42","CA",35826,33.961393,-118.23473,0.047334,0.050434 
"06","44","43","CA",209381,33.910658,-118.233798,0.277372,0.294754 
"06","44","44","CA",465151,33.854591,-118.231545,0.613695,0.654812 
"06","45","40","CA",500242,33.693516,-117.716876,0.659042,0.614552 
"06","45","47","CA",313743,33.682461,-117.78396,0.41333,0.385436 
"06","45","49","CA",10,33.574484,-117.637922,0.000013,0.000012 
"06","46","40","CA",39702,33.804636,-117.842954,0.052305,0.056491 
"06","46","45","CA",47095,33.780268,-117.917088,0.062085,0.067011 
"06","46","46","CA",615999,33.786093,-117.90445,0.813046,0.876497 
"06","47","42","CA",290361,33.778883,-118.156885,0.383627,0.406286 
"06","47","44","CA",127031,33.822059,-118.180795,0.167598,0.177747 
"06","47","45","CA",256435,33.788682,-118.004988,0.338059,0.358815 
"06","47","46","CA",40844,33.800347,-117.992644,0.053909,0.057151 
"06","48","40","CA",52176,33.57927,-117.728598,0.068739,0.072433 
"06","48","45","CA",119316,33.729118,-117.957288,0.157295,0.16564 
"06","48","46","CA",38268,33.744334,-117.928108,0.050509,0.053125 
"06","48","47","CA",445318,33.667976,-117.94879,0.586669,0.618211 
"06","48","49","CA",65255,33.530837,-117.701047,0.08603,0.09059 
"06","49","40","CA",2953,33.55414,-117.662148,0.00389,0.003937 
"06","49","48","CA",188,33.317651,-117.25476,0.000248,0.000251 
"06","49","49","CA",691856,33.252112,-117.381119,0.912117,0.922414 
"06","49","50","CA",55052,32.990221,-117.178689,0.072501,0.073398 
"06","50","48","CA",504993,33.103261,-117.004671,0.665676,0.667001 
"06","50","49","CA",1395,33.284637,-117.222478,0.001839,0.001843 
"06","50","50","CA",195173,33.127631,-117.130474,0.257032,0.257787 
"06","50","51","CA",55549,32.798082,-116.9368,0.073264,0.07337 
"06","51","25","CA",179702,32.841599,-115.540167,0.233573,0.25289 
"06","51","48","CA",15434,32.655642,-116.618823,0.020345,0.02172 
"06","51","50","CA",70,32.745442,-117.118578,0.000092,0.000099 
"06","51","51","CA",195,32.744524,-117.056177,0.000257,0.000274 
"06","51","52","CA",515191,32.651363,-117.081656,0.676826,0.725017 
"06","52","48","CA",49768,32.972717,-117.040792,0.065604,0.065229 
"06","52","50","CA",407741,32.852398,-117.190673,0.536973,0.534412 
"06","52","51","CA",305462,32.874486,-117.137772,0.402877,0.400358 
"06","53","48","CA",19992,32.757461,-116.973727,0.026353,0.026158 
"06","53","50","CA",101296,32.743063,-117.146534,0.133401,0.132538 
"06","53","51","CA",396995,32.768095,-117.051047,0.523601,0.519437 
"06","53","52","CA",245996,32.655623,-117.009875,0.323174,0.321867 
"08","01","01","CO",721638,39.724562,-104.949877,0.999895,0.858346 
"08","01","06","CO",107475,39.610691,-105.04437,0.148923,0.127835 
"08","01","07","CO",11618,39.607636,-105.108922,0.016098,0.013819 
"08","02","02","CO",543012,40.200268,-105.275891,0.752386,0.654923 
"08","02","04","CO",107329,40.454491,-105.061546,0.148697,0.129449 
"08","02","06","CO",854,39.584329,-105.136309,0.001183,0.00103 
"08","02","07","CO",160777,39.753828,-105.170341,0.222776,0.193912 
"08","02","08","CO",17151,40.336599,-105.054773,0.023766,0.020686 
"08","03","02","CO",57632,40.018245,-106.80144,0.079854,0.076006 
"08","03","03","CO",688485,38.516222,-107.004002,0.953937,0.907983 
"08","03","07","CO",12140,38.814086,-105.949073,0.016821,0.01601 
"08","04","02","CO",120888,40.151114,-105.097351,0.1675,0.138866 
"08","04","03","CO",33245,37.659336,-104.026006,0.046063,0.038189 
"08","04","04","CO",468238,39.64147,-104.375184,0.648714,0.537872 
"08","04","06","CO",131,39.658597,-104.618565,0.000182,0.00015 
"08","04","08","CO",248035,40.308298,-104.793244,0.343699,0.284922 
"08","05","04","CO",8059,38.971766,-104.301446,0.011165,0.009682 
"08","05","05","CO",721714,38.87621,-104.756931,1,0.867052 
"08","05","07","CO",102604,38.664795,-105.409429,0.14217,0.123266 
"08","06","01","CO",76,39.689983,-104.898047,0.000105,0.000091 
"08","06","04","CO",138168,39.569721,-104.90373,0.191423,0.165353 
"08","06","06","CO",613221,39.654326,-104.836642,0.849712,0.733874 
"08","06","08","CO",84129,39.968624,-104.85537,0.116576,0.100682 
"08","07","02","CO",188,39.895854,-105.301213,0.00026,0.000233 
"08","07","07","CO",434558,39.766874,-105.113878,0.602133,0.538422 
"08","07","08","CO",372349,39.874363,-104.963274,0.515959,0.461344 
"09","01","01","CT",696367,41.75116,-72.722519,0.965581,0.970338 
"09","01","02","CT",21287,41.698083,-72.560824,0.029517,0.029662 
"09","02","02","CT",699901,41.627937,-72.24146,0.970483,1 
"09","03","01","CT",19798,41.57333,-72.686588,0.027452,0.027676 
"09","03","03","CT",695562,41.342198,-72.93958,0.964466,0.972324 
"09","04","03","CT",25627,41.299916,-73.11164,0.035534,0.034315 
"09","04","04","CT",721189,41.157298,-73.376699,1,0.965685 
"09","05","01","CT",5024,41.816038,-73.113287,0.006966,0.006908 
"09","05","05","CT",722278,41.589373,-73.090977,1,0.993092 
"10","00","00","DE",989948,39.333614,-75.548423,1,1 
"11","98","98","DC",689545,38.910168,-77.014003,1,1 
"12","01","01","FL",769221,30.521309,-86.958774,1,0.952146 
"12","01","02","FL",38660,30.661767,-86.010665,0.050259,0.047854 
"12","02","02","FL",488934,30.355421,-84.998015,0.635622,0.671745 
"12","02","03","FL",238922,29.712899,-82.703967,0.310602,0.328254 
"12","03","03","FL",428678,29.584771,-82.314172,0.557288,0.559535 
"12","03","04","FL",218245,30.087758,-81.80045,0.283722,0.284866 
"12","03","06","FL",119210,29.477909,-81.842251,0.154975,0.1556 
"12","04","04","FL",203219,30.487787,-81.658984,0.264188,0.23308 
"12","04","05","FL",663376,30.175021,-81.499525,0.8624,0.760853 
"12","04","06","FL",5289,29.815082,-81.384533,0.006876,0.006066 
"12","05","02","FL",241627,30.483,-84.255157,0.314119,0.322638 
"12","05","03","FL",53916,30.325039,-82.485257,0.070092,0.071993 
"12","05","04","FL",347757,30.314871,-81.730501,0.45209,0.464351 
"12","05","05","FL",105610,30.321259,-81.578248,0.137295,0.141018 
"12","06","05","FL",235,29.836085,-81.356039,0.000306,0.000295 
"12","06","06","FL",490500,29.246963,-81.260929,0.637658,0.616009 
"12","06","07","FL",298365,28.981837,-81.110147,0.387879,0.374711 
"12","06","11","FL",7154,28.797448,-81.539804,0.0093,0.008985 
"12","07","07","FL",470856,28.699166,-81.310084,0.61212,0.59714 
"12","07","09","FL",12183,28.505046,-81.352908,0.015838,0.01545 
"12","07","10","FL",305479,28.573839,-81.282906,0.397128,0.387409 
"12","08","08","FL",769221,28.111225,-80.640209,1,0.981458 
"12","08","09","FL",27,28.39331,-80.945356,0.000035,0.000034 
"12","08","10","FL",14505,28.526467,-81.093637,0.018857,0.018507 
"12","09","09","FL",549522,28.295763,-81.373392,0.714387,0.575053 
"12","09","10","FL",105336,28.525281,-81.20846,0.136938,0.11023 
"12","09","11","FL",3252,28.24685,-81.650127,0.004228,0.003403 
"12","09","18","FL",297492,28.03253,-81.664005,0.386744,0.311314 
"12","10","09","FL",198732,28.409068,-81.3886,0.258355,0.227433 
"12","10","10","FL",343901,28.541119,-81.441945,0.447077,0.393568 
"12","10","11","FL",331171,28.564092,-81.548379,0.430528,0.378999 
"12","11","03","FL",47705,29.039663,-82.213889,0.062017,0.058118 
"12","11","06","FL",154222,29.030384,-81.984053,0.200491,0.187884 
"12","11","11","FL",270550,28.789649,-81.916918,0.351719,0.329603 
"12","11","12","FL",348358,28.663933,-82.478557,0.452871,0.424395 
"12","12","12","FL",420863,28.270935,-82.587101,0.547129,0.521427 
"12","12","13","FL",231642,28.063487,-82.734115,0.301138,0.286992 
"12","12","14","FL",4567,28.15931,-82.574788,0.005937,0.005658 
"12","12","15","FL",150065,28.216836,-82.294684,0.195087,0.185923 
"12","13","13","FL",537579,27.866678,-82.752178,0.698861,0.738976 
"12","13","14","FL",189886,27.795854,-82.64721,0.246855,0.261024 
"12","14","14","FL",514836,27.989394,-82.508911,0.669295,0.653804 
"12","14","15","FL",272611,28.094337,-82.434601,0.354399,0.346196 
"12","15","09","FL",8757,28.314121,-81.662729,0.011384,0.010681 
"12","15","11","FL",157094,28.442088,-81.754959,0.204225,0.191612 
"12","15","14","FL",38219,27.922776,-82.364921,0.049685,0.046617 
"12","15","15","FL",346545,28.022275,-82.164505,0.450514,0.422692 
"12","15","16","FL",141252,27.904761,-82.281727,0.18363,0.172289 
"12","15","18","FL",127986,28.039353,-81.928672,0.166384,0.156108 
"12","16","14","FL",21713,27.747044,-82.430002,0.028227,0.024561 
